,Rural,Urbana,Total
1991, , ,
  Amazonas,600489,1502754,2103243
  Brasil,35834485,110990990,146825475
  Alvarães - AM,5131,3356,8487
  Amaturá - AM,2825,1913,4738
  Anamã - AM,4693,1331,6024
  Anori - AM,3889,5101,8990
  Apuí - AM,3413,2319,5732
  Atalaia do Norte - AM,5832,2161,7993
  Autazes - AM,10744,6363,17107
  Barcelos - AM,7017,4018,11035
  Barreirinha - AM,10693,5623,16316
  Benjamin Constant - AM,6773,11539,18312
  Beruri - AM,4584,2852,7436
  Boa Vista do Ramos - AM,4941,2563,7504
  Boca do Acre - AM,13709,11296,25005
  Borba - AM,9304,7913,17217
  Caapiranga - AM,5126,1707,6833
  Canutama - AM,7962,4190,12152
  Carauari - AM,7800,11498,19298
  Careiro - AM,27488,4328,31816
  Careiro da Várzea - AM,17454,707,18161
  Coari - AM,17597,21081,38678
  Codajás - AM,5074,8388,13462
  Eirunepé - AM,6930,13442,20372
  Envira - AM,11693,4646,16339
  Fonte Boa - AM,10672,5773,16445
  Guajará - AM,8660,2835,11495
  Humaitá - AM,20092,18700,38792
  Ipixuna - AM,6099,3554,9653
  Iranduba - AM,12473,6403,18876
  Itacoatiara - AM,21377,37380,58757
  Itamarati - AM,7547,1538,9085
  Itapiranga - AM,1669,3468,5137
  Japurá - AM,9360,1417,10777
  Juruá - AM,3369,1676,5045
  Jutaí - AM,5803,9087,14890
  Lábrea - AM,17608,15444,33052
  Manacapuru - AM,21154,36019,57173
  Manaquiri - AM,8327,2391,10718
  Manaus - AM,4916,1006585,1011501
  Manicoré - AM,23484,14373,37857
  Maraã - AM,9639,2199,11838
  Maués - AM,13841,16658,30499
  Nhamundá - AM,8403,4847,13250
  Nova Olinda do Norte - AM,6651,6298,12949
  Novo Airão - AM,8044,5980,14024
  Novo Aripuanã - AM,6202,5432,11634
  Parintins - AM,17192,41591,58783
  Pauini - AM,14313,2724,17037
  Presidente Figueiredo - AM,3857,3232,7089
  Rio Preto da Eva - AM,4176,2343,6519
  Santa Isabel do Rio Negro - AM,13317,2104,15421
  Santo Antônio do Içá - AM,12742,4472,17214
  São Gabriel da Cachoeira - AM,16305,6835,23140
  São Paulo de Olivença - AM,8518,5105,13623
  São Sebastião do Uatumã - AM,1129,3410,4539
  Silves - AM,3462,2241,5703
  Tabatinga - AM,8101,19822,27923
  Tapauá - AM,17870,7516,25386
  Tefé - AM,14913,39057,53970
  Tonantins - AM,7543,2491,10034
  Uarini - AM,4102,1305,5407
  Urucará - AM,5185,6143,11328
  Urucurituba - AM,11702,5971,17673
